x,uh
-1.0,29.462
-0.99687,29.487
-0.99375,29.562
-0.99063,29.688
-0.9875,29.866
-0.98438,30.097
-0.98125,30.385
-0.97812,30.731
-0.975,31.14
-0.97188,31.615
-0.96875,32.16
-0.96562,32.781
-0.9625,33.484
-0.95938,34.275
-0.95625,35.161
-0.95312,36.151
-0.95,37.253
-0.94687,38.476
-0.94375,39.831
-0.94063,41.33
-0.9375,42.985
-0.93437,44.808
-0.93125,46.814
-0.92813,49.018
-0.925,51.436
-0.92188,54.084
-0.91875,56.98
-0.91562,60.144
-0.9125,63.594
-0.90938,67.351
-0.90625,71.436
-0.90312,75.872
-0.9,80.679
-0.89688,85.881
-0.89375,91.501
-0.89062,97.562
-0.8875,104.09
-0.88437,111.1
-0.88125,118.62
-0.87813,126.67
-0.875,135.28
-0.87187,144.45
-0.86875,154.21
-0.86563,164.58
-0.8625,175.57
-0.85938,187.19
-0.85625,199.44
-0.85312,212.34
-0.85,225.89
-0.84688,240.08
-0.84375,254.92
-0.84062,270.39
-0.8375,286.48
-0.83438,303.17
-0.83125,320.45
-0.82812,338.28
-0.825,356.65
-0.82187,375.51
-0.81875,394.83
-0.81563,414.58
-0.8125,434.69
-0.80937,455.14
-0.80625,475.87
-0.80313,496.82
-0.8,517.94
-0.79688,539.19
-0.79375,560.5
-0.79062,581.81
-0.7875,603.08
-0.78438,624.24
-0.78125,645.24
-0.77812,666.02
-0.775,686.55
-0.77188,706.77
-0.76875,726.63
-0.76562,746.09
-0.7625,765.12
-0.75937,783.67
-0.75625,801.73
-0.75313,819.25
-0.75,836.23
-0.74687,852.63
-0.74375,868.46
-0.74063,883.68
-0.7375,898.31
-0.73438,912.33
-0.73125,925.75
-0.72812,938.57
-0.725,950.79
-0.72188,962.43
-0.71875,973.5
-0.71562,984.0
-0.7125,993.97
-0.70938,1003.4
-0.70625,1012.3
-0.70312,1020.8
-0.7,1028.8
-0.69687,1036.3
-0.69375,1043.4
-0.69063,1050.1
-0.6875,1056.5
-0.68437,1062.5
-0.68125,1068.1
-0.67813,1073.4
-0.675,1078.4
-0.67188,1083.1
-0.66875,1087.6
-0.66562,1091.8
-0.6625,1095.8
-0.65938,1099.6
-0.65625,1103.2
-0.65312,1106.5
-0.65,1109.7
-0.64688,1112.7
-0.64375,1115.6
-0.64062,1118.3
-0.6375,1120.9
-0.63437,1123.3
-0.63125,1125.5
-0.62813,1127.7
-0.625,1129.6
-0.62187,1131.5
-0.61875,1133.2
-0.61563,1134.8
-0.6125,1136.2
-0.60938,1137.4
-0.60625,1138.5
-0.60312,1139.5
-0.6,1140.2
-0.59688,1140.8
-0.59375,1141.1
-0.59062,1141.3
-0.5875,1141.2
-0.58438,1140.9
-0.58125,1140.3
-0.57812,1139.5
-0.575,1138.4
-0.57187,1137.1
-0.56875,1135.5
-0.56563,1133.6
-0.5625,1131.6
-0.55937,1129.4
-0.55625,1127.2
-0.55313,1125.0
-0.55,1122.9
-0.54688,1121.2
-0.54375,1120.0
-0.54062,1119.3
-0.5375,1119.1
-0.53438,1119.5
-0.53125,1120.4
-0.52812,1121.8
-0.525,1123.6
-0.52188,1125.8
-0.51875,1128.3
-0.51562,1131.1
-0.5125,1134.1
-0.50937,1137.3
-0.50625,1140.5
-0.50313,1143.9
-0.5,1147.3
-0.49687,1150.7
-0.49375,1154.1
-0.49062,1157.4
-0.4875,1160.7
-0.48438,1163.9
-0.48125,1167.1
-0.47813,1170.2
-0.475,1173.2
-0.47188,1176.2
-0.46875,1179.0
-0.46562,1181.8
-0.4625,1184.5
-0.45937,1187.2
-0.45625,1189.8
-0.45312,1192.3
-0.45,1194.8
-0.44688,1197.3
-0.44375,1199.7
-0.44063,1202.1
-0.4375,1204.5
-0.43437,1206.8
-0.43125,1209.1
-0.42812,1211.4
-0.425,1213.7
-0.42188,1216.0
-0.41875,1218.3
-0.41563,1220.5
-0.4125,1222.8
-0.40938,1225.1
-0.40625,1227.3
-0.40312,1229.6
-0.4,1231.9
-0.39687,1234.1
-0.39375,1236.4
-0.39062,1238.7
-0.3875,1241.0
-0.38438,1243.4
-0.38125,1245.7
-0.37813,1248.0
-0.375,1250.4
-0.37187,1252.7
-0.36875,1255.1
-0.36562,1257.5
-0.3625,1259.9
-0.35938,1262.4
-0.35625,1264.8
-0.35313,1267.2
-0.35,1269.7
-0.34688,1272.2
-0.34375,1274.7
-0.34062,1277.3
-0.3375,1279.8
-0.33437,1282.4
-0.33125,1285.0
-0.32812,1287.6
-0.325,1290.2
-0.32188,1292.9
-0.31875,1295.6
-0.31563,1298.3
-0.3125,1301.0
-0.30937,1303.8
-0.30625,1306.6
-0.30312,1309.5
-0.3,1312.4
-0.29688,1315.3
-0.29375,1318.3
-0.29063,1321.3
-0.2875,1324.4
-0.28438,1327.5
-0.28125,1330.7
-0.27812,1334.0
-0.275,1337.4
-0.27187,1340.8
-0.26875,1344.3
-0.26562,1347.9
-0.2625,1351.7
-0.25938,1355.5
-0.25625,1359.5
-0.25313,1363.7
-0.25,1368.1
-0.24688,1372.6
-0.24375,1377.3
-0.24062,1382.3
-0.2375,1387.6
-0.23438,1393.2
-0.23125,1399.1
-0.22813,1405.5
-0.225,1412.2
-0.22187,1419.5
-0.21875,1427.3
-0.21563,1435.8
-0.2125,1444.9
-0.20937,1454.9
-0.20625,1465.7
-0.20312,1477.6
-0.2,1490.6
-0.19688,1504.9
-0.19375,1520.7
-0.19062,1538.0
-0.1875,1557.3
-0.18438,1578.5
-0.18125,1602.1
-0.17812,1628.3
-0.175,1657.3
-0.17188,1689.6
-0.16875,1725.5
-0.16563,1765.4
-0.1625,1809.8
-0.15937,1859.0
-0.15625,1913.7
-0.15313,1974.3
-0.15313,NaN
-0.15313,800.21
-0.15,863.86
-0.14687,923.35
-0.14375,978.52
-0.14062,1029.3
-0.1375,1075.8
-0.13438,1118.1
-0.13125,1156.4
-0.12812,1190.8
-0.125,1221.5
-0.12188,1249.0
-0.11875,1273.3
-0.11563,1294.9
-0.1125,1313.9
-0.10938,1330.7
-0.10625,1345.4
-0.10312,1358.4
-0.1,1369.8
-0.096875,1379.8
-0.09375,1388.8
-0.090625,1396.7
-0.0875,1403.8
-0.084375,1410.2
-0.08125,1416.1
-0.078125,1421.4
-0.075,1426.4
-0.071875,1431.0
-0.06875,1435.4
-0.065625,1439.6
-0.0625,1443.6
-0.059375,1447.5
-0.05625,1451.3
-0.053125,1455.1
-0.05,1458.8
-0.046875,1462.4
-0.04375,1466.1
-0.040625,1469.7
-0.0375,1473.4
-0.034375,1477.0
-0.03125,1480.7
-0.028125,1484.4
-0.025,1488.1
-0.021875,1491.8
-0.01875,1495.6
-0.015625,1499.4
-0.0125,1503.2
-0.009375,1507.0
-0.00625,1510.8
-0.003125,1514.7
-5.2042e-19,1518.6
0.0,1518.6
0.003125,1522.6
0.00625,1526.6
0.009375,1530.6
0.0125,1534.6
0.015625,1538.7
0.01875,1542.8
0.021875,1546.9
0.025,1551.1
0.028125,1555.3
0.03125,1559.6
0.034375,1563.9
0.0375,1568.2
0.040625,1572.5
0.04375,1576.9
0.046875,1581.3
0.05,1585.8
0.053125,1590.3
0.05625,1594.8
0.059375,1599.4
0.0625,1604.0
0.065625,1608.7
0.06875,1613.4
0.071875,1618.2
0.075,1622.9
0.078125,1627.8
0.08125,1632.6
0.084375,1637.6
0.0875,1642.5
0.090625,1647.5
0.09375,1652.6
0.096875,1657.7
0.1,1662.9
0.10312,1668.1
0.10625,1673.3
0.10938,1678.6
0.1125,1684.0
0.11563,1689.4
0.11875,1694.8
0.12188,1700.3
0.125,1705.9
0.12812,1711.5
0.13125,1717.2
0.13438,1723.0
0.1375,1728.8
0.14062,1734.6
0.14375,1740.5
0.14687,1746.5
0.15,1752.5
0.15313,1758.6
0.15625,1764.8
0.15937,1771.0
0.1625,1777.3
0.16563,1783.7
0.16875,1790.2
0.17188,1796.7
0.175,1803.2
0.17812,1809.9
0.18125,1816.6
0.18438,1823.4
0.1875,1830.3
0.19062,1837.3
0.19375,1844.3
0.19688,1851.5
0.2,1858.7
0.20312,1866.0
0.20625,1873.3
0.20937,1880.8
0.2125,1888.4
0.21563,1896.0
0.21875,1903.8
0.22187,1911.6
0.225,1919.6
0.22813,1927.6
0.23125,1935.8
0.23438,1944.0
0.2375,1952.4
0.24062,1960.9
0.24375,1969.4
0.24688,1978.1
0.25,1986.9
0.25313,1995.9
0.25625,2004.9
0.25938,2014.1
0.2625,2023.4
0.26562,2032.8
0.26875,2042.4
0.27187,2052.1
0.275,2062.0
0.27812,2072.0
0.28125,2082.1
0.28438,2092.4
0.2875,2102.8
0.29063,2113.4
0.29375,2124.2
0.29688,2135.1
0.3,2146.2
0.30312,2157.4
0.30625,2168.8
0.30937,2180.4
0.3125,2192.1
0.31563,2203.9
0.31875,2215.8
0.32188,2227.8
0.325,2239.7
0.32812,2251.5
0.33125,2263.0
0.33437,2274.1
0.3375,2284.5
0.34062,2293.9
0.34375,2301.9
0.34688,2308.0
0.35,2311.6
0.35313,2312.1
0.35625,2308.7
0.35938,2300.6
0.3625,2286.8
0.36562,2266.4
0.36875,2238.5
0.37187,2202.2
0.375,2156.8
0.37813,2101.7
0.38125,2036.7
0.38438,1961.5
0.3875,1876.5
0.39062,1782.3
0.39375,1679.8
0.39687,1570.3
0.4,1455.3
0.40312,1336.6
0.40625,1216.0
0.40938,1095.7
0.4125,977.37
0.41563,863.01
0.41875,754.18
0.42188,652.25
0.425,558.27
0.42812,472.97
0.43125,396.75
0.43437,329.69
0.4375,271.6
0.44063,222.05
0.44375,180.44
0.44688,146.02
0.45,117.99
0.45312,95.508
0.45625,77.75
0.45937,63.935
0.4625,53.351
0.46562,45.365
0.46875,39.429
0.47188,35.083
0.475,31.95
0.47813,29.724
0.48125,28.167
0.48438,27.094
0.4875,26.365
0.49062,25.878
0.49375,25.557
0.49687,25.348
0.5,25.215
0.50313,25.13
0.50625,25.078
0.50937,25.046
0.5125,25.027
0.51562,25.016
0.51875,25.009
0.52188,25.005
0.525,25.003
0.52812,25.001
0.53125,25.001
0.53438,25.0
0.5375,25.0
0.54062,25.0
0.54375,25.0
0.54688,25.0
0.55,25.0
0.55313,25.0
0.55313,NaN
0.55313,25.0
0.55625,25.0
0.55937,25.0
0.5625,25.0
0.56563,25.0
0.56875,25.0
0.57187,25.0
0.575,25.0
0.57812,25.0
0.58125,25.0
0.58438,25.0
0.5875,25.0
0.59062,25.0
0.59375,25.0
0.59688,25.0
0.6,25.0
0.60312,25.0
0.60625,25.0
0.60938,25.0
0.6125,25.0
0.61563,25.0
0.61875,25.0
0.62187,25.0
0.625,25.0
0.62813,25.0
0.63125,25.0
0.63437,25.0
0.6375,25.0
0.64062,25.0
0.64375,25.0
0.64688,25.0
0.65,25.0
0.65312,25.0
0.65625,25.0
0.65938,25.0
0.6625,25.0
0.66562,25.0
0.66875,25.0
0.67188,25.0
0.675,25.0
0.67813,25.0
0.68125,25.0
0.68437,25.0
0.6875,25.0
0.69063,25.0
0.69375,25.0
0.69687,25.0
0.7,25.0
0.70312,25.0
0.70625,25.0
0.70938,25.0
0.7125,25.0
0.71562,25.0
0.71875,25.0
0.72188,25.0
0.725,25.0
0.72812,25.0
0.73125,25.0
0.73438,25.0
0.7375,25.0
0.74063,25.0
0.74375,25.0
0.74687,25.0
0.75,25.0
0.75313,25.0
0.75625,25.0
0.75937,25.0
0.7625,25.0
0.76562,25.0
0.76875,25.0
0.77188,25.0
0.775,25.0
0.77812,25.0
0.78125,25.0
0.78438,25.0
0.7875,25.0
0.79062,25.0
0.79375,25.0
0.79688,25.0
0.8,25.0
0.80313,25.0
0.80625,25.0
0.80937,25.0
0.8125,25.0
0.81563,25.0
0.81875,25.0
0.82187,25.0
0.825,25.0
0.82812,25.0
0.83125,25.0
0.83438,25.0
0.8375,25.0
0.84062,25.0
0.84375,25.0
0.84688,25.0
0.85,25.0
0.85312,25.0
0.85625,25.0
0.85938,25.0
0.8625,25.0
0.86563,25.0
0.86875,25.0
0.87187,25.0
0.875,25.0
0.87813,25.0
