x,y
0.6727304,0.0
0.68,0.00917432
0.6807671,0.0102531
0.690625,0.01468437
0.70125,0.0197864
0.7027346,0.0205062
0.711875,0.02300588
0.7225,0.02607109
0.733125,0.02940344
0.7372054,0.0307593
0.74375,0.03215523
0.754375,0.03447641
0.765,0.03693358
0.775625,0.03957841
0.7810534,0.0410124
0.78625,0.04195539
0.796875,0.04390811
0.8075,0.04592317
0.818125,0.0480382
0.82875,0.05026557
0.8333223,0.0512655
0.839375,0.05224231
0.85,0.05396997
0.860625,0.05570631
0.87125,0.05745512
0.881875,0.05918947
0.8925,0.06083937
0.8972648,0.0615186
0.903125,0.06224778
0.91375,0.06340574
0.924375,0.06429499
0.935,0.06481636
0.945625,0.06485126
0.95625,0.06426371
0.966875,0.06290799
0.973505,0.0615186
0.9775,0.06073369
0.988125,0.05739416
0.99875,0.0523186
1.000579,0.0512655
1.009375,0.04530107
1.014316,0.0410124
1.02,0.03461597
1.022941,0.0307593
1.028595,0.0205062
1.030625,0.01337055
1.031535,0.0102531
1.032619,0.0
